date,description,amount,currency,category
2025-03-02 10:07,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-03-05 08:44,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-03-08 09:05,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-03-10 08:14,NATIONAL DAILY NEWS SUB,299.00,INR,Subscriptions
2025-03-12 08:41,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-03-14 20:00,BIG BAZAAR HYPERMARKET,2795.00,INR,Groceries
2025-03-17 21:55,AMAZON PAYMENT ON DELIVERY,1529.00,INR,Shopping
2025-03-22 10:43,KIRANA STORE NEAR HOME,2076.00,INR,Groceries
2025-03-25 18:07,CAFE LOUNGE DINNER,896.00,INR,Dining
2025-03-31 18:31,CAFE LOUNGE DINNER,1576.00,INR,Dining
2025-04-01 08:47,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-04-04 09:21,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-04-04 12:34,HP PETROL PUMP,1482.00,INR,Fuel
2025-04-07 08:55,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-04-08 12:32,LOCAL CLOTHING STORE,2850.00,INR,Shopping
2025-04-11 09:25,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-04-20 21:38,KIRANA STORE NEAR HOME,1211.00,INR,Groceries
2025-05-01 09:15,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-05-04 09:09,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-05-07 08:24,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-05-07 21:05,KIRANA STORE NEAR HOME,2398.00,INR,Groceries
2025-05-11 10:29,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-05-11 18:15,KIRANA STORE NEAR HOME,2399.00,INR,Groceries
2025-05-31 08:08,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-06-03 08:48,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-06-03 20:35,HP PETROL PUMP,1775.00,INR,Fuel
2025-06-06 09:29,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-06-09 08:51,NATIONAL DAILY NEWS SUB,299.00,INR,Subscriptions
2025-06-10 08:16,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-06-14 21:49,LOCAL CLOTHING STORE,1083.00,INR,Shopping
2025-06-30 10:06,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-07-03 09:06,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-07-06 10:53,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-07-10 08:15,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-07-15 20:13,BIG BAZAAR HYPERMARKET,6469.00,INR,Groceries
2025-07-23 18:25,CAFE LOUNGE DINNER,761.00,INR,Dining
2025-07-29 10:14,HP PETROL PUMP,1172.00,INR,Fuel
2025-07-30 10:47,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-08-02 08:24,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-08-05 09:10,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-08-05 10:21,KIRANA STORE NEAR HOME,1060.00,INR,Groceries
2025-08-09 10:35,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-08-09 21:28,LOCAL CLOTHING STORE,2594.00,INR,Shopping
2025-08-16 12:37,KIRANA STORE NEAR HOME,1734.00,INR,Groceries
2025-08-29 10:05,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-09-01 08:22,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-09-04 09:22,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-09-07 21:15,KIRANA STORE NEAR HOME,745.00,INR,Groceries
2025-09-08 09:25,NATIONAL DAILY NEWS SUB,299.00,INR,Subscriptions
2025-09-08 10:16,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-09-18 12:34,BIG BAZAAR HYPERMARKET,5476.00,INR,Groceries
2025-09-28 10:27,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-10-01 09:38,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-10-04 08:42,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-10-08 10:37,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-10-15 20:15,LOCAL CLOTHING STORE,3160.00,INR,Shopping
2025-10-22 12:06,AMAZON PAYMENT ON DELIVERY,2167.00,INR,Shopping
2025-10-28 08:01,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-10-31 09:51,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-11-03 09:44,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-11-07 09:57,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-11-09 20:26,LOCAL CLOTHING STORE,2251.00,INR,Shopping
2025-11-19 10:03,AMAZON PAYMENT ON DELIVERY,721.00,INR,Shopping
2025-11-27 08:13,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-11-30 08:46,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2025-12-03 10:41,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2025-12-04 12:55,HP PETROL PUMP,1573.00,INR,Fuel
2025-12-06 12:12,LOCAL CLOTHING STORE,1247.00,INR,Shopping
2025-12-07 10:25,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2025-12-08 09:04,NATIONAL DAILY NEWS SUB,299.00,INR,Subscriptions
2025-12-13 12:27,HP PETROL PUMP,1559.00,INR,Fuel
2025-12-27 08:32,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2025-12-30 09:34,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-01-02 08:38,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2026-01-06 09:14,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-01-15 10:05,KIRANA STORE NEAR HOME,1707.00,INR,Groceries
2026-01-20 21:06,AMAZON PAYMENT ON DELIVERY,4028.00,INR,Shopping
2026-01-26 10:01,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-01-26 20:00,AMAZON PAYMENT ON DELIVERY,1174.00,INR,Shopping
2026-01-29 08:59,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-02-01 10:10,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2026-02-05 08:32,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-02-07 20:13,HP PETROL PUMP,1597.00,INR,Fuel
2026-02-25 10:12,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-02-28 09:05,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-03-03 10:46,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2026-03-05 10:37,HP PETROL PUMP,1322.00,INR,Fuel
2026-03-07 09:05,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-03-09 08:58,NATIONAL DAILY NEWS SUB,299.00,INR,Subscriptions
2026-03-19 20:09,LOCAL CLOTHING STORE,3076.00,INR,Shopping
2026-03-21 18:27,BIG BAZAAR HYPERMARKET,5227.00,INR,Groceries
2026-03-27 10:03,CAFE LOUNGE DINNER,992.00,INR,Dining
2026-03-27 10:41,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-03-28 20:07,CAFE LOUNGE DINNER,831.00,INR,Dining
2026-03-30 10:18,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-04-02 08:10,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2026-04-06 08:55,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-04-10 21:10,CAFE LOUNGE DINNER,1379.00,INR,Dining
2026-04-11 12:04,KIRANA STORE NEAR HOME,764.00,INR,Groceries
2026-04-26 10:34,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-04-29 10:39,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-05-02 09:24,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2026-05-05 12:42,CAFE LOUNGE DINNER,884.00,INR,Dining
2026-05-05 18:25,LOCAL CLOTHING STORE,1777.00,INR,Shopping
2026-05-06 08:09,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-05-08 21:36,KIRANA STORE NEAR HOME,1946.00,INR,Groceries
2026-05-13 10:39,HP PETROL PUMP,1708.00,INR,Fuel
2026-05-25 21:36,KIRANA STORE NEAR HOME,1538.00,INR,Groceries
2026-05-26 09:14,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-05-29 09:36,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-06-01 09:59,CLOUDVAULT STORAGE PLAN,499.00,INR,Software
2026-06-05 10:10,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-06-08 10:56,NATIONAL DAILY NEWS SUB,299.00,INR,Subscriptions
2026-06-14 20:20,LOCAL CLOTHING STORE,2028.00,INR,Shopping
2026-06-20 15:54,LAPTOP REPAIR NOVA SERVICE,3800.00,INR,Repairs
2026-06-25 09:37,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-06-28 08:45,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-07-01 10:44,CLOUDVAULT STORAGE PLAN,599.00,INR,Software
2026-07-05 10:27,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-07-05 12:23,HP PETROL PUMP,1170.00,INR,Fuel
2026-07-11 21:16,KIRANA STORE NEAR HOME,1036.00,INR,Groceries
2026-07-25 09:51,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-07-27 18:07,LOCAL CLOTHING STORE,1350.00,INR,Shopping
2026-07-28 08:02,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-07-31 10:14,CLOUDVAULT STORAGE PLAN,599.00,INR,Software
2026-08-04 10:04,MUSIC HUB PREMIUM,149.00,INR,Subscriptions
2026-08-05 11:40,GOA TRIP FLIGHT SKYWINGS,12400.00,INR,Travel
2026-08-07 18:39,HP PETROL PUMP,1656.00,INR,Fuel
2026-08-09 21:19,LOCAL CLOTHING STORE,832.00,INR,Shopping
2026-08-15 01:31,CRYPTO GATEWAY CHARGE,9999.00,INR,Other
2026-08-24 08:48,EXAMPLE STREAMING SUBSCRIPTION,799.00,INR,Subscriptions
2026-08-27 10:14,FITZONE GYM MEMBERSHIP,1500.00,INR,Health
2026-08-28 23:16,PAYTO XFER UNKNOWN RECIPIENT,48200.00,INR,Transfer
2026-08-29 12:43,CAFE LOUNGE DINNER,1052.00,INR,Dining
